;;;;;;;;;;;;Счет № 9-978 от 30.09.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Расчетный период:;;;;сентябрь 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Договор № 2402 от 01.01.2013, л/с 586001404499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Во избежание ограничения доступа к услугам связи просим оплатить до: 20.10.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Благодарим за своевременную оплату счёта.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;"ПАО ""Ростелеком""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Продавец:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Российская Федерация, 191002, г.Санкт-Петербург, ул.Достоевского, д.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;"ПАО ""Ростелеком""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Получатель платежа:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;ИНН 7707049388;;;;;;;;;КПП 668543001;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Р/С 40702810400280008837    в филиале Банка ВТБ (ПАО) в г. Екатеринбурге   БИК 046577952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;К/С 30101810400000000952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;"Ханты-Мансийский филиал ПАО ""Ростелеком""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Реквизиты для обращений:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;628011, г.Ханты-Мансийск, ул.Коминтерна, д.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
